Perfume,Valor,Ocasião de Uso,Período de Uso,Clima,Sexo,Sentimento,Notas Olfativas,Estilo,Faixa Etária,Intensidade
ARMAF CLUB DE NUIT BLUE ICONIC 105ML," $ 36,75 ",Evento Formal,Noite,Frio,Masculino,"Elegante, Marcante","Cítricos, Notas florais, Almíscar",Sofisticado,25-45,Moderada
ARMAF CLUB DE NUIT INTENSE 105ML," $ 23,50 ",Evento Formal,Noite,Frio,Masculino,"Intenso, Energético","Notas amadeiradas, Florais, Especiarias",Sofisticado,20-40,Forte
ARMAF CLUB DE NUIT MILESTONE 105ML," $ 27,50 ",Evento Formal,Noite,Frio,Masculino,"Elegante, Sofisticado","Bergamota, Rosa, Almíscar",Sofisticado,25-50,Moderada
ARMAF CLUB DE NUIT OUD 105ML," $ 52,50 ",Evento Formal,Noite,Frio,Masculino,"Intenso, Luxuoso","Oud, Âmbar, Especiarias",Sofisticado,30-50,Forte
ARMAF CLUB DE NUIT PRECIEUX 55ML FEMME," $ 47,00 ",Evento Formal,Noite,Frio,Feminino,"Sofisticado, Elegante","Jasmim, Rosa, Baunilha, Almíscar",Sofisticado,25-50,Moderada
ARMAF CLUB DE NUIT RED UNTOLD 105ML," $ 36,50 ",Casual,Noite,Frio,Masculino,"Energético, Marcante","Bergamota, Musgo, Almíscar","Jovem, Casual",20-40,Moderada
ARMAF CLUB DE NUIT SILLAGE 105ML," $ 31,75 ",Evento Formal,Noite,Frio,Masculino,"Elegante, Refrescante","Cítricos, Notas amadeiradas, Especiarias",Sofisticado,25-45,Moderada
ARMAF ODYSSEY HOMME H EDP 100ML," $ 36,00 ",Casual,Dia,Quente,Masculino,"Sofisticado, Fresco","Notas aquáticas, Cítricos, Almíscar",Casual,20-40,Leve
ARMAF ODYSSEY MEGA EDP 100ML," $ 36,00 ",Casual,Dia,Quente,Masculino,"Energético, Refrescante","Notas amadeiradas, Cítricos, Musgo",Casual,20-40,Leve
LATTAFA AL JAWHARA 100ML," $ 28,50 ",Casual,Dia,Quente,Feminino,"Sofisticado, Elegante","Frutas, Rosa, Musgo",Sofisticado,25-50,Moderada
LATTAFA AL NASHAMA CAPRICE 100ML," $ 23,50 ",Casual,Dia,Quente,Feminino,"Energético, Elegante","Cítricos, Notas florais, Almíscar","Jovem, Casual",20-40,Leve
LATTAFA AL NOBLE AMEER 100ML," $ 20,00 ",Casual,Dia,Quente,Masculino,"Elegante, Sofisticado","Especiarias, Almíscar, Notas amadeiradas",Casual,25-45,Moderada
LATTAFA AL NOBLE SAFEER 100ML UNISSEX," $ 18,50 ",Casual,Dia,Quente,Unissex,"Elegante, Sofisticado","Notas florais, Musk, Oud",Casual,20-40,Leve
LATTAFA ANA ABIYAD ROUGE 60ML EDP WOMEN," $ 13,50 ",Casual,Noite,Frio,Feminino,"Suave, Elegante","Baunilha, Rosa, Almíscar","Jovem, Casual",18-35,Leve
LATTAFA BADEE AL OUD GLORY BLACK 100ML," $ 18,50 ",Evento Formal,Noite,Frio,Masculino,"Sofisticado, Marcante","Oud, Âmbar, Especiarias",Sofisticado,25-45,Moderada
